,x
1,hsa-mir-1-2
2,hsa-mir-1267
3,hsa-mir-1273c
4,hsa-mir-147b
5,hsa-mir-2115
6,hsa-mir-222
7,hsa-mir-23b
8,hsa-mir-23c
9,hsa-mir-3124
10,hsa-mir-3140
11,hsa-mir-3154
12,hsa-mir-3192
13,hsa-mir-3920
14,hsa-mir-3926-1
15,hsa-mir-4313
16,hsa-mir-4418
17,hsa-mir-4435-2
18,hsa-mir-4530
19,hsa-mir-4655
20,hsa-mir-4680
21,hsa-mir-4688
22,hsa-mir-4746
23,hsa-mir-4788
24,hsa-mir-4802
25,hsa-mir-497
26,hsa-mir-516b-2
27,hsa-mir-517a
28,hsa-mir-517b
29,hsa-mir-5194
30,hsa-mir-548a-3
31,hsa-mir-548at
32,hsa-mir-548t
33,hsa-mir-5579
34,hsa-mir-5684
35,hsa-mir-604
36,hsa-mir-6499
37,hsa-mir-675
38,hsa-mir-6784
39,hsa-mir-6794
40,hsa-mir-6795
41,hsa-mir-6810
42,hsa-mir-6818
43,hsa-mir-6824
44,hsa-mir-6836
45,hsa-mir-6844
46,hsa-mir-6867
47,hsa-mir-6873
48,hsa-mir-6875
49,hsa-mir-6888
50,hsa-mir-708
51,hsa-mir-7114
52,hsa-mir-7157
53,hsa-mir-767
54,hsa-mir-7848
55,hsa-mir-9-3
56,hsa-mir-92a-1
57,hsa-mir-92a-2
